School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Beverly - Beverly Middle School;00300305;ELA;          29;47;           3;5;          26;42;          24;39;           9;15;          62;97;     495.3;          42.7;          62;40;2022;ALL;multi-race
Beverly - Beverly Middle School;00300305;MATH;          26;42;           3;5;          23;37;          25;40;          11;18;          62;98;     493.8;          38.1;          62;42;2022;ALL;multi-race
Beverly - Beverly Middle School;00300305;SCI;          14;44;           2;6;          12;38;          13;41;           5;16;          32;100;     499.6;;;58;2022;ALL;multi-race
Billerica - Billerica Memorial High School;00310505;ELA;           5;42;           1;8;           4;33;           6;50;           1;8;          12;100;     497.9;;          12;48;2022;ALL;multi-race
Billerica - Billerica Memorial High School;00310505;MATH;           4;33;           0;0;           4;33;           5;42;           3;25;          12;100;     489.8;;          12;31;2022;ALL;multi-race
Billerica - Billerica Memorial High School;00310505;SCI;           6;50;           0;0;           6;50;           5;42;           1;8;          12;100;     496.8;;;53;2022;ALL;multi-race
Billerica - Locke Middle;00310310;ELA;           9;35;           0;0;           9;35;          12;46;           5;19;          26;100;     489.1;          32.9;          25;22;2022;ALL;multi-race
Billerica - Locke Middle;00310310;MATH;           6;23;           0;0;           6;23;          16;62;           4;15;          26;100;     489.6;          43.2;          25;30;2022;ALL;multi-race
Billerica - Marshall Middle School;00310305;ELA;           7;39;           1;6;           6;33;           7;39;           4;22;          18;100;     489.4;;          18;23;2022;ALL;multi-race
Billerica - Marshall Middle School;00310305;MATH;           9;50;           2;11;           7;39;           7;39;           2;11;          18;100;     495.0;;          18;45;2022;ALL;multi-race
Billerica - Thomas Ditson;00310005;ELA;           7;58;           3;25;           4;33;           4;33;           1;8;          12;100;     508.8;;           7;78;2022;ALL;multi-race
Billerica - Thomas Ditson;00310005;MATH;           8;67;           1;8;           7;58;           4;33;           0;0;          12;100;     505.7;;           7;71;2022;ALL;multi-race
Blackstone-Millville - A F Maloney;06220015;ELA;          12;67;           1;6;          11;61;           5;28;           1;6;          18;100;     500.7;;          15;57;2022;ALL;multi-race
Blackstone-Millville - A F Maloney;06220015;MATH;          12;67;           0;0;          12;67;           5;28;           1;6;          18;100;     500.3;;          15;59;2022;ALL;multi-race
Blackstone-Millville - Frederick W. Hartnett Middle School;06220405;ELA;           6;38;           2;13;           4;25;           5;31;           5;31;          16;94;     490.4;;          16;26;2022;ALL;multi-race
Blackstone-Millville - Frederick W. Hartnett Middle School;06220405;MATH;           7;44;           1;6;           6;38;           4;25;           5;31;          16;94;     488.3;;          16;27;2022;ALL;multi-race
Boston - Boston Latin Academy;00350545;ELA;          21;75;           3;11;          18;64;           7;25;           0;0;          28;100;     511.4;          56.0;          23;84;2022;ALL;multi-race
Boston - Boston Latin Academy;00350545;MATH;          13;46;           1;4;          12;43;          14;50;           1;4;          28;100;     500.7;          34.7;          24;60;2022;ALL;multi-race
Boston - Boston Latin Academy;00350545;SCI;          10;71;           0;0;          10;71;           4;29;           0;0;          14;100;     504.1;;;66;2022;ALL;multi-race
Boston - Boston Latin School;00350560;ELA;          35;83;           7;17;          28;67;           7;17;           0;0;          42;100;     514.5;          44.3;          26;91;2022;ALL;multi-race
Boston - Boston Latin School;00350560;MATH;          35;83;           9;21;          26;62;           7;17;           0;0;          42;100;     515.4;          47.6;          26;89;2022;ALL;multi-race
Boston - Boston Latin School;00350560;SCI;          20;91;           2;9;          18;82;           2;9;           0;0;          22;100;     513.7;;;85;2022;ALL;multi-race
Boston - Condon K-8 School;00350146;ELA;           6;33;           1;6;           5;28;           6;33;           6;33;          18;95;     490.5;;          15;27;2022;ALL;multi-race
