school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Athol-Royalston - Athol Community Elementary School,06150020,ELA,          60,41,           7,5,          53,36,          69,47,          18,12,         147,     494.5,          46.3,          72,11,2019,ALL,white
Athol-Royalston - Athol Community Elementary School,06150020,MATH,          46,31,           8,5,          38,26,          69,47,          32,22,         147,     489.0,          33.6,          72,8,2019,ALL,white
Athol-Royalston - Athol-Royalston Middle School,06150305,ELA,          99,31,           7,2,          92,29,         159,50,          63,20,         321,     489.3,          45.7,         310,4,2019,ALL,white
Athol-Royalston - Athol-Royalston Middle School,06150305,MATH,         116,36,          10,3,         106,33,         152,47,          53,17,         321,     492.2,          54.8,         309,13,2019,ALL,white
Athol-Royalston - Athol-Royalston Middle School,06150305,SCI,          61,38,           4,2,          57,35,          77,48,          23,14,         161,     492.5,,,11,2019,ALL,white
Athol-Royalston - Royalston Community School,06150050,ELA,          48,64,           7,9,          41,55,          27,36,           0,0,          75,     507.2,          59.3,          50,60,2019,ALL,white
Athol-Royalston - Royalston Community School,06150050,MATH,          42,56,           6,8,          36,48,          29,39,           4,5,          75,     503.6,          61.5,          50,56,2019,ALL,white
Athol-Royalston - Royalston Community School,06150050,SCI,           7,50,           0,0,           7,50,           7,50,           0,0,          14,     500.1,,,33,2019,ALL,white
Atlantis Charter (District) - Atlantis Charter School,04910550,ELA,         229,43,          41,8,         188,35,         246,46,          55,10,         530,     498.1,          46.6,         435,20,2019,ALL,white
Atlantis Charter (District) - Atlantis Charter School,04910550,MATH,         199,38,          27,5,         172,32,         279,53,          52,10,         530,     494.1,          37.4,         435,16,2019,ALL,white
Atlantis Charter (District) - Atlantis Charter School,04910550,SCI,          56,32,           2,1,          54,31,          90,51,          30,17,         176,     489.5,,,6,2019,ALL,white
Attleboro - A. Irvin Studley Elementary School,00160001,ELA,          64,57,          13,12,          51,46,          41,37,           7,6,         112,     504.1,          39.8,          55,46,2019,ALL,white
Attleboro - A. Irvin Studley Elementary School,00160001,MATH,          71,63,          15,13,          56,50,          30,27,          11,10,         112,     503.8,          49.0,          56,57,2019,ALL,white
Attleboro - Cyril K. Brennan Middle School,00160315,ELA,         193,53,          44,12,         149,41,         135,37,          36,10,         364,     504.1,          53.4,         340,46,2019,ALL,white
Attleboro - Cyril K. Brennan Middle School,00160315,MATH,         151,42,          13,4,         138,38,         166,46,          45,12,         362,     495.5,          40.6,         337,20,2019,ALL,white
Attleboro - Cyril K. Brennan Middle School,00160315,SCI,          80,47,           8,5,          72,42,          70,41,          21,12,         171,     499.5,,,31,2019,ALL,white
Attleboro - Hill-Roberts Elementary School,00160045,ELA,          62,48,           6,5,          56,44,          54,42,          12,9,         128,     498.6,          38.8,          58,22,2019,ALL,white
Attleboro - Hill-Roberts Elementary School,00160045,MATH,          60,47,           7,5,          53,41,          52,41,          16,13,         128,     497.3,          54.6,          58,27,2019,ALL,white
Attleboro - Hyman Fine Elementary School,00160040,ELA,          95,76,          25,20,          70,56,          29,23,           1,1,         125,     514.5,          64.4,          58,88,2019,ALL,white
Attleboro - Hyman Fine Elementary School,00160040,MATH,          76,61,          16,13,          60,48,          43,34,           6,5,         125,     505.7,          68.6,          58,66,2019,ALL,white
Attleboro - Peter Thacher Elementary School,00160050,ELA,          55,63,          24,28,          31,36,          21,24,          11,13,          87,     515.0,          71.5,          41,90,2019,ALL,white
Attleboro - Peter Thacher Elementary School,00160050,MATH,          57,66,          14,16,          43,49,          20,23,          10,11,          87,     509.9,          73.5,          41,82,2019,ALL,white
Attleboro - Robert J. Coelho Middle School,00160305,ELA,         226,50,          18,4,         208,46,         187,41,          39,9,         452,     498.3,          46.8,         447,21,2019,ALL,white
Attleboro - Robert J. Coelho Middle School,00160305,MATH,         269,60,          38,8,         231,51,         151,34,          30,7,         450,     503.0,          54.7,         445,54,2019,ALL,white
Attleboro - Robert J. Coelho Middle School,00160305,SCI,         126,58,          22,10,         104,48,          81,38,           9,4,         216,     503.8,,,50,2019,ALL,white
Attleboro - Thomas Willett Elementary School,00160035,ELA,          87,73,          16,13,          71,60,          28,24,           4,3,         119,     509.5,          49.4,          60,72,2019,ALL,white
Attleboro - Thomas Willett Elementary School,00160035,MATH,          69,58,           6,5,          63,53,          41,34,           9,8,         119,     501.8,          50.3,          60,47,2019,ALL,white
Attleboro - Wamsutta Middle School,00160320,ELA,         221,58,          41,11,         180,47,         126,33,          34,9,         381,     502.8,          46.1,         376,39,2019,ALL,white
Attleboro - Wamsutta Middle School,00160320,MATH,         219,57,          29,8,         190,50,         132,34,          32,8,         383,     501.8,          53.5,         378,47,2019,ALL,white
Attleboro - Wamsutta Middle School,00160320,SCI,         113,57,          18,9,          95,48,          73,37,          13,7,         199,     501.9,,,42,2019,ALL,white
