school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year
Ashburnham-Westminster - Overlook Middle School,6100305,ELA,         295,53,          45,8,         250,45,         224,40,          42,7,         561,99,501.1,61.1,         538,73.0,2022
Ashburnham-Westminster - Overlook Middle School,6100305,MATH,         263,47,          15,3,         248,44,         266,47,          33,6,         562,100,497.7,58.9,         539,62.0,2022
Ashburnham-Westminster - Overlook Middle School,6100305,SCI,          86,46,           5,3,          81,43,          87,46,          16,8,         189,99,496.0,,,51.0,2022
Ashburnham-Westminster - Westminster Elementary,6100005,ELA,         105,37,           0,0,         105,37,         153,54,          26,9,         284,100,493.7,41.7,         167,46.0,2022
Ashburnham-Westminster - Westminster Elementary,6100005,MATH,         105,37,           5,2,         100,35,         141,50,          38,13,         284,100,492.8,42.8,         167,48.0,2022
Ashburnham-Westminster - Westminster Elementary,6100005,SCI,          37,42,           1,1,          36,40,          42,47,          10,11,          89,100,493.0,,,42.0,2022
Ashland - Ashland Middle,140405,ELA,         385,58,          95,14,         290,44,         205,31,          75,11,         665,98,502.7,60.6,         635,77.0,2022
Ashland - Ashland Middle,140405,MATH,         399,60,         105,16,         294,44,         227,34,          41,6,         667,99,505.9,66.1,         635,85.0,2022
Ashland - Ashland Middle,140405,SCI,         128,57,          20,9,         108,48,          76,34,          19,9,         223,99,501.3,,,68.0,2022
Ashland - David Mindess,140015,ELA,         308,50,          23,4,         285,47,         251,41,          53,9,         612,99,498.9,48.5,         388,65.0,2022
Ashland - David Mindess,140015,MATH,         309,50,          41,7,         268,44,         233,38,          70,11,         612,100,499.2,50.8,         388,66.0,2022
Ashland - David Mindess,140015,SCI,         122,58,          16,8,         106,51,          71,34,          16,8,         209,99,502.5,,,72.0,2022
Athol-Royalston - Athol Community Elementary School,6150020,ELA,          47,24,           2,1,          45,23,         106,53,          47,24,         200,99,485.8,35.3,          96,21.0,2022
Athol-Royalston - Athol Community Elementary School,6150020,MATH,          59,30,           6,3,          53,27,          90,45,          49,25,         198,98,486.3,46.3,          95,28.0,2022
Athol-Royalston - Athol-Royalston Middle School,6150305,ELA,          76,19,           5,1,          71,18,         201,50,         127,31,         404,97,481.7,40.1,         377,13.0,2022
Athol-Royalston - Athol-Royalston Middle School,6150305,MATH,          75,18,           1,0,          74,18,         246,60,          86,21,         407,97,484.4,47.7,         383,24.0,2022
Athol-Royalston - Athol-Royalston Middle School,6150305,SCI,          61,30,           7,3,          54,26,         108,52,          37,18,         206,93,490.1,,,35.0,2022
Athol-Royalston - Royalston Community School,6150050,ELA,          37,49,           3,4,          34,45,          31,41,           8,11,          76,100,496.5,48.5,          50,56.0,2022
Athol-Royalston - Royalston Community School,6150050,MATH,          36,47,           3,4,          33,43,          29,38,          11,14,          76,100,494.1,43.2,          50,52.0,2022
Athol-Royalston - Royalston Community School,6150050,SCI,           8,47,           1,6,           7,41,           8,47,           1,6,          17,100,500.1,,,64.0,2022
Atlantis Charter (District) - Atlantis Charter School,4910550,ELA,         227,35,          24,4,         203,31,         318,49,         109,17,         654,100,491.1,48.5,         528,37.0,2022
Atlantis Charter (District) - Atlantis Charter School,4910550,MATH,         157,24,           4,1,         153,23,         381,58,         114,17,         652,100,487.0,43.1,         526,30.0,2022
Atlantis Charter (District) - Atlantis Charter School,4910550,SCI,          73,34,           5,2,          68,31,          97,45,          47,22,         217,100,489.3,,,34.0,2022
Attleboro - A. Irvin Studley Elementary School,160001,ELA,          75,51,          10,7,          65,45,          61,42,          10,7,         146,100,501.3,62.1,          72,74.0,2022
